<<<<<<< Updated upstream
EventIndex,Duration
1,0.04911303520202637
2,0.04615592956542969
3,0.0543522834777832
4,0.05173945426940918
5,0.13547253608703613
6,0.08122897148132324
7,0.04970741271972656
8,0.05013155937194824
9,0.06774139404296875
10,0.06510210037231445
11,0.055229902267456055
12,0.032644033432006836
13,0.0460660457611084
14,0.06628108024597168
15,0.06604743003845215
16,0.06682920455932617
17,0.0670461654663086
18,0.06544613838195801
19,0.0509188175201416
20,0.05010819435119629
21,0.04949069023132324
22,0.06719112396240234
23,0.06862759590148926
24,0.06536388397216797
25,0.05512046813964844
26,0.04634881019592285
27,0.09766221046447754
28,0.049875736236572266
29,0.03446245193481445
30,0.0482175350189209
31,0.03373098373413086
32,0.06953239440917969
33,0.03239154815673828
34,0.04892086982727051
35,0.032813072204589844
36,0.03484535217285156
37,0.1003720760345459
38,0.04897046089172363
39,0.05099225044250488
40,0.16392016410827637
41,0.05457019805908203
42,0.04747295379638672
43,0.05069780349731445
44,0.08384966850280762
45,0.04562544822692871
46,0.054456233978271484
47,0.04753518104553223
48,0.03251457214355469
49,0.06874442100524902
50,0.05174660682678223
51,0.06390261650085449
52,0.05349278450012207
53,0.04498863220214844
54,0.054747819900512695
55,0.047095537185668945
56,0.05244803428649902
57,0.08452200889587402
58,0.050626277923583984
59,0.06140327453613281
60,0.05024099349975586
61,0.0538640022277832
62,0.06763935089111328
63,0.048338890075683594
64,0.031365156173706055
65,0.05259275436401367
66,0.046956777572631836
67,0.0543365478515625
68,0.04888606071472168
69,0.03531312942504883
70,0.04726696014404297
71,0.03589272499084473
72,0.1336660385131836
73,0.04601716995239258
74,0.052976131439208984
75,0.06771993637084961
76,0.05965876579284668
77,0.04029130935668945
78,0.04883384704589844
79,0.0510256290435791
80,0.04940390586853027
81,0.04280662536621094
82,0.056246042251586914
83,0.05192923545837402
84,0.042240142822265625
85,0.07980847358703613
86,0.1783127784729004
87,0.05752134323120117
88,0.04270052909851074
89,0.06592988967895508
90,0.05051684379577637
91,0.04817366600036621
92,0.05152463912963867
93,0.06568217277526855
94,0.06587886810302734
95,0.05249428749084473
96,0.04833841323852539
97,0.05184483528137207
98,0.03264188766479492
99,0.049536943435668945
100,0.1828145980834961
101,0.06783604621887207
102,0.06767916679382324
103,0.06393766403198242
104,0.05313825607299805
105,0.047458648681640625
106,0.052018165588378906
107,0.04843425750732422
108,0.06789708137512207
109,0.048883914947509766
110,0.07336091995239258
111,0.06192493438720703
112,0.04010272026062012
113,0.06049203872680664
114,0.04941296577453613
115,0.034502267837524414
116,0.048500776290893555
117,0.051656246185302734
118,0.06424307823181152
119,0.052392005920410156
120,0.047295331954956055
121,0.0525813102722168
122,0.06971096992492676
123,0.04694700241088867
124,0.03293752670288086
125,0.05576729774475098
126,0.14184832572937012
127,0.05368614196777344
128,0.16533303260803223
129,0.06377363204956055
130,0.055409908294677734
131,0.05165576934814453
132,0.06505775451660156
133,0.06715011596679688
134,0.04990363121032715
135,0.0498204231262207
136,0.05086088180541992
137,0.06587934494018555
138,0.05066800117492676
139,0.05001401901245117
140,0.06600093841552734
141,0.033353328704833984
142,0.049490928649902344
143,0.05087018013000488
144,0.04938793182373047
145,0.06751155853271484
146,0.06551361083984375
147,0.06751871109008789
148,0.05132007598876953
149,0.04894304275512695
150,0.050690650939941406
151,0.04972362518310547
152,0.050362586975097656
153,0.04868626594543457
154,0.05166292190551758
155,0.04790067672729492
156,0.05205965042114258
157,0.0492398738861084
158,0.031986236572265625
159,0.05811166763305664
160,0.14399385452270508
161,0.05044078826904297
162,0.046540021896362305
163,0.053395748138427734
164,0.04764723777770996
165,0.05969667434692383
166,0.042489051818847656
167,0.047629594802856445
168,0.04804229736328125
169,0.07064199447631836
170,0.05176997184753418
171,0.06329059600830078
172,0.05260419845581055
173,0.06290221214294434
174,0.05345892906188965
175,0.04833197593688965
176,0.05212545394897461
177,0.05197262763977051
178,0.031957149505615234
=======
EventIndex,Duration
1,0.04198145866394043
2,0.0638730525970459
3,0.03302502632141113
4,0.02785658836364746
5,0.05378007888793945
6,0.04070329666137695
7,0.03870248794555664
8,0.030585050582885742
9,0.03395581245422363
10,0.03644108772277832
11,0.02841329574584961
12,0.028916597366333008
13,0.030641555786132812
14,0.031783342361450195
15,0.04175591468811035
16,0.03658318519592285
17,0.04035234451293945
18,0.027041912078857422
19,0.02845168113708496
20,0.032683610916137695
21,0.024867773056030273
22,0.035701751708984375
23,0.04371213912963867
24,0.04268145561218262
25,0.0370941162109375
26,0.029000520706176758
27,0.03148078918457031
28,0.039682626724243164
29,0.022829532623291016
30,0.02299213409423828
31,0.0228731632232666
32,0.03033733367919922
33,0.03600955009460449
34,0.02261948585510254
35,0.022731542587280273
36,0.0225372314453125
37,0.02200031280517578
38,0.024658918380737305
>>>>>>> Stashed changes
