EventIndex,Duration
1,0.06777381896972656
2,0.041188716888427734
3,0.030127763748168945
4,0.02834296226501465
5,0.05487489700317383
6,0.04390764236450195
7,0.03433418273925781
8,0.028580188751220703
9,0.03358936309814453
10,0.038861751556396484
11,0.02771139144897461
12,0.02768683433532715
13,0.028535842895507812
14,0.035962581634521484
15,0.038605451583862305
16,0.04742908477783203
17,0.028174638748168945
18,0.03175234794616699
19,0.030797481536865234
20,0.03612041473388672
21,0.032999515533447266
22,0.03561735153198242
23,0.044146060943603516
24,0.03946852684020996
25,0.02850508689880371
26,0.027524471282958984
27,0.0335845947265625
28,0.03960561752319336
29,0.05370831489562988
30,0.02753734588623047
31,0.02338409423828125
32,0.029724836349487305
33,0.0367274284362793
34,0.025600910186767578
35,0.023385047912597656
36,0.024348020553588867
37,0.022935152053833008
38,0.023261308670043945
