EventIndex,Duration
1,0.03741621971130371
2,0.03996777534484863
3,0.04021024703979492
4,0.0664663314819336
5,0.08914041519165039
6,0.03736138343811035
7,0.05649709701538086
8,0.02913498878479004
9,0.04024362564086914
10,0.04877495765686035
11,0.023425817489624023
12,0.02787160873413086
13,0.02741527557373047
14,0.038721323013305664
15,0.043395280838012695
16,0.05166912078857422
17,0.03445911407470703
18,0.028062820434570312
19,0.0280153751373291
20,0.0310971736907959
21,0.024515628814697266
22,0.034570932388305664
23,0.04444122314453125
24,0.043082237243652344
25,0.03517651557922363
26,0.03329205513000488
27,0.03644275665283203
28,0.0463869571685791
29,0.026888608932495117
30,0.029262542724609375
31,0.0297238826751709
32,0.03550362586975098
33,0.0382230281829834
34,0.026180505752563477
35,0.02541327476501465
36,0.025882720947265625
37,0.02539515495300293
38,0.028778553009033203
